time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.79074018898e-08,-2.9786950481e-08,10.0044887651,6.28314637903,6.28298330682,0.0,1.31793527195e-05,-3.08577554335e-06,0.149616910191,-0.00197916531955,-0.011133404876,0.0,452.8474417485497,451.9512181024107,452.4181480091716,452.2588101244617
0.12000000000000001,7.53806518206e-06,-1.39090741931e-06,10.0175311811,6.28317744854,6.28267580338,0.0,0.00028487555593,-4.65393516147e-05,0.285105442241,0.00509514367178,0.00478139689199,0.0,447.6903590955678,448.9832673847642,447.4857420045457,448.0611348924159
0.18,3.43241676633e-05,-3.24350835784e-06,10.0380199013,2.92457251891e-05,6.28277790001,0.0,0.000586891489478,4.64899846257e-06,0.397818747097,-0.0103146147325,-0.00530650924214,0.0,441.50474559601935,440.6717610165147,441.58403807377726,440.3112479692048
0.23999999999999996,7.91113390263e-05,-4.85654931518e-06,10.065332758,6.2824132999,6.28271272564,0.0,0.000924818792869,-0.000131537651696,0.512564710605,-0.0202569797393,0.00624322027384,0.0,441.00806875188886,441.9609070319069,442.40282633944713,441.5836645946005
0.3,0.000143582053065,-3.41973092521e-05,10.1005586714,6.28063864976,6.28300374054,0.0,0.00118764017418,-0.000991857937725,0.661557309038,-0.0645921029353,0.00190750442227,0.0,452.65055615808717,452.30147486165043,454.2544010429825,450.6850155117213
0.36000000000000004,0.000218039524857,-0.000168799067454,10.1456527173,6.27692940599,0.000323019987692,0.0,0.00125626137705,-0.00392561816731,0.841460454295,-0.0567879106055,0.0189844484851,0.0,461.4519073818101,462.7977036905839,461.63457234679646,462.24728157721506
0.4200000000000001,0.00028382065342,-0.000528748209935,10.1966005856,6.27389262962,0.00123133017207,0.0,0.000843610935047,-0.00835889301987,0.856788164726,-0.0404825639674,0.00605359647756,0.0,410.80156388177727,409.6534240641501,408.84139524111174,410.2894474984339
0.48000000000000015,0.000305644818661,-0.00124589296552,10.2525323461,6.27186976278,0.00157625938493,0.0,-0.000154764407014,-0.0157856519333,1.00748032617,-0.0227894609646,0.00513216645966,0.0,452.9676396449423,452.8934450074111,453.30072945413644,454.7196218181198
0.5400000000000001,0.000260387563616,-0.0024455996308,10.3171477208,6.27038580039,0.00217218999372,0.0,-0.0014038042248,-0.0243563435664,1.14623438096,-0.0289332206393,0.0181254046722,0.0,449.2802504882337,450.33224854960264,450.59256388015757,450.0955857389722
0.6000000000000002,0.000133238802361,-0.00414413327298,10.3863375472,6.26866533496,0.00328449748783,0.0,-0.00293264008797,-0.0324155193984,1.16007668547,-0.028161875064,0.0193519645905,0.0,410.18193174898505,410.29080723405343,409.7697332094981,409.8379817167458
0.6600000000000003,-0.000111220187145,-0.00637877349317,10.4578573058,6.26752111268,0.00444136971153,0.0,-0.00532777503077,-0.0422042554474,1.22384629797,-0.00525970010375,0.0191393168975,0.0,426.08905852963306,426.07085536732575,426.22423910160853,428.1768190763957
0.7200000000000003,-0.000520433853748,-0.00921383052672,10.5328807932,6.26694329231,0.00549215328221,0.0,-0.00841714074226,-0.0523374917739,1.27687727833,-0.0202422329531,0.0140444565839,0.0,423.35918822864187,422.9205779113694,424.0703537348166,422.7816582263628
0.7800000000000004,-0.00114433749904,-0.0127007782938,10.6128813641,6.26540984757,0.00631779622272,0.0,-0.0124655898223,-0.0640316839275,1.38967468632,-0.0391721168566,0.0131871262599,0.0,442.64291699337434,442.5722526106868,443.3780028087977,441.8200091555671
0.8400000000000004,-0.00201807319256,-0.0168953386913,10.697965646,6.26264820343,0.00763778299114,0.0,-0.0167633624497,-0.0760246143044,1.44639216082,-0.0655148796443,0.0354816393383,0.0,423.83019754427335,425.7418972055637,426.20362020540443,423.9448072038109
0.9000000000000005,-0.00320324735649,-0.0219320489929,10.7894285403,6.25860448415,0.00963171341684,0.0,-0.022968580285,-0.0923006811817,1.60215327023,-0.0714474961626,0.0283050024145,0.0,456.8733251075507,456.3012214731748,456.36774010887177,455.8907101116472
0.9600000000000005,-0.00483166178146,-0.028103910106,10.8928877975,6.25467428779,0.0122718843356,0.0,-0.0315892517409,-0.113922901309,1.84610998711,-0.0556893302339,0.0644843567432,0.0,482.8858235086233,485.6079211030238,481.0422402906241,482.2310432354885
1.0200000000000005,-0.0069871847838,-0.0355230339235,11.0060231186,6.25124878352,0.015840955182,0.0,-0.0406301727216,-0.133711849537,1.92492128471,-0.0600540939623,0.0469185805881,0.0,434.98769151056035,433.51680904953776,433.1359316812871,432.76638009114725
1.0800000000000005,-0.0097134686664,-0.0441201643508,11.1214711562,6.24786358057,0.018824980979,0.0,-0.0504987433799,-0.153162570074,1.92333314165,-0.0499975495274,0.0548394235461,0.0,406.80809381207024,407.51848082646075,407.00493531971654,407.9014287949422
1.1400000000000006,-0.0131434716232,-0.0540483208623,11.2397856842,6.24435089115,0.0220465639824,0.0,-0.0641623662694,-0.178089186687,2.02029706506,-0.0870986629489,0.0512966212192,0.0,439.5301655226332,439.2384090195804,441.64436978121483,438.57080707822973
1.2000000000000006,-0.0174818483106,-0.065593112294,11.3649148117,6.23882369002,0.0254206823304,0.0,-0.0807900414966,-0.207297329492,2.15040283289,-0.104750690665,0.06462803301,0.0,449.67475259807003,450.7554086597281,451.5743116704269,450.14100982537167
